Date,Open,High,Low,Close,Adj Close,Volume
2017-07-31,941.890015,943.590027,926.039978,930.500000,930.500000,1970100
2017-08-01,932.380005,937.447021,929.260010,930.830017,930.830017,1277700
2017-08-02,928.609985,932.599976,916.679993,930.390015,930.390015,1824400
2017-08-03,930.340027,932.239990,922.239990,923.650024,923.650024,1202500
2017-08-04,926.750000,930.307007,923.030029,927.960022,927.960022,1082300
2017-08-07,929.059998,931.700012,926.500000,929.359985,929.359985,1032200
2017-08-08,927.090027,935.814026,925.609985,926.789978,926.789978,1061600
2017-08-09,920.609985,925.979980,917.250000,922.900024,922.900024,1192100
2017-08-10,917.549988,919.260010,906.130005,907.239990,907.239990,1824000
2017-08-11,907.969971,917.780029,905.580017,914.390015,914.390015,1206800
2017-08-14,922.530029,924.668030,918.190002,922.669983,922.669983,1064500
2017-08-15,924.229980,926.549988,919.820007,922.219971,922.219971,883400
2017-08-16,925.289978,932.700012,923.445007,926.960022,926.960022,1006700
2017-08-17,925.780029,926.859985,910.979980,910.979980,910.979980,1277200
2017-08-18,910.309998,915.275024,907.153992,910.669983,910.669983,1342700
2017-08-21,910.000000,913.000000,903.400024,906.659973,906.659973,943400
2017-08-22,912.719971,925.859985,911.474976,924.690002,924.690002,1166700
2017-08-23,921.929993,929.929993,919.359985,927.000000,927.000000,1090200
2017-08-24,928.659973,930.840027,915.500000,921.280029,921.280029,1270300
2017-08-25,923.489990,925.554993,915.500000,915.890015,915.890015,1053400
2017-08-28,916.000000,919.244995,911.869995,913.809998,913.809998,1086500
2017-08-29,905.099976,923.330017,905.000000,921.289978,921.289978,1185600
2017-08-30,920.049988,930.818970,919.650024,929.570007,929.570007,1301225
